pl_name,hostname,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,disc_year,sy_dist
Kepler-1167 b,Kepler-1167,1,1,0,1.003933739,1.71,3.57,3.92,0.0,1039.697,1419.0,4971.0,2016,820.905
Kepler-1740 b,Kepler-1740,1,1,0,8.172400475,3.32321414,11.0,1.65,0.0,127.95,858.0,5705.0,2021,1061.77
Kepler-1581 b,Kepler-1581,1,1,0,6.28385491,0.8,0.437,4.69,0.0,470.862,1108.0,6022.0,2016,493.175
Kepler-644 b,Kepler-644,1,1,0,3.173917103,3.15,10.1,1.78,0.0,2381.77,1655.0,6747.0,2016,1318.05
Kepler-1752 b,Kepler-1752,1,1,0,56.35850143,4.54060463,18.7,1.1,0.0,7.29,419.0,5446.0,2021,962.888
Kepler-280 c,Kepler-280,1,2,0,4.807091,2.01,4.7,3.18,0.0,279.085,1088.0,5744.0,2014,780.361
Kepler-1208 b,Kepler-1208,1,1,0,11.08507637,2.32,5.99,2.64,0.0,37.664,665.0,5001.0,2016,825.176
Kepler-263 c,Kepler-263,1,2,0,47.332773,2.47,6.66,2.43,0.0,5.994,386.0,5265.0,2014,754.747
Kepler-1101 b,Kepler-1101,1,1,0,81.3151059,2.47,6.66,2.43,0.0,3.577,393.0,5614.0,2016,742.473
HD 168746 b,HD 168746,1,1,0,6.404,11.1,85.8141,0.345,0.11,,900.0,5570.0,2002,41.5681
Kepler-560 b,Kepler-560,2,1,0,18.47764449,1.72,3.61,3.9,0.17,2.46,298.0,3556.0,2016,109.308
Kepler-150 d,Kepler-150,1,5,0,12.56093,2.79,8.2,2.07,0.0,65.142,734.0,5560.0,2014,891.092
Kepler-498 b,Kepler-498,1,1,0,9.61375356,3.03,9.43,1.86,0.0,202.775,931.0,5744.0,2016,938.844
Kepler-817 b,Kepler-817,1,1,0,3.990106229,9.03,60.2,0.449,0.0,550.203,1124.0,5861.0,2016,1484.46
Kepler-937 b,Kepler-937,1,2,0,67.668827,3.72,13.4,1.43,0.0,20.627,495.0,6095.0,2016,1571.46
K2-10 b,K2-10,1,1,0,19.30553,3.773,25.2,2.36,0.31,42.1,649.0,5533.0,2015,272.36
Kepler-571 b,Kepler-571,1,1,0,4.798599388,2.64,7.46,2.23,0.0,219.036,978.0,5527.0,2016,723.875
Kepler-1458 b,Kepler-1458,1,1,0,47.9872764,2.76,8.05,2.1,0.0,8.293,493.0,5653.0,2016,544.45
K2-335 b,K2-335,1,1,0,12.283211,2.21,5.52,2.81,,,949.0,6222.0,2021,557.993
Kepler-1600 c,Kepler-1600,1,2,0,7.298049927,1.94206512,4.43,3.32,0.0,84.7,786.0,5119.0,2021,1030.81
Kepler-221 d,Kepler-221,1,4,0,10.04156,2.73,3.61,0.9,0.0,56.293,712.0,5243.0,2014,385.231
Kepler-626 b,Kepler-626,1,1,0,14.48585199,2.29,5.86,2.68,0.0,69.795,784.0,5813.0,2016,635.643
Kepler-1549 b,Kepler-1549,1,1,0,214.886545,2.57,7.13,2.31,0.0,1.184,286.0,5324.0,2016,803.052
K2-62 c,K2-62,1,2,0,16.19697,1.99,4.62,3.22,,14.3,495.0,4455.0,2016,112.467
Kepler-1149 b,Kepler-1149,1,1,0,3.73089898,1.44,2.67,4.91,0.0,653.831,1128.0,5833.0,2016,1217.73
Kepler-1288 b,Kepler-1288,1,1,0,2.76122421,1.12,1.46,5.71,0.0,1342.5,2017.0,6132.0,2016,814.078
Kepler-128 b,Kepler-128,1,2,0,15.0,1.421,3.79,7.222837,0.0,227.398,968.0,6072.0,2013,396.379
Kepler-1245 b,Kepler-1245,1,2,0,4.35409304,1.44,2.67,4.91,0.0,194.344,1043.0,5306.0,2016,805.936
